rt_time,smiles
429.6,N=C(N)O
636.5999999999999,CCN=C(O)CCC(N)C(=O)O
552.6,Cc1ncc(CO)c(CO)c1O
63.6,CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
624.6,COC(C)C(N)C(=O)O
148.8,N=C(O)Cc1c[nH]c2ccccc12
660.0,O=C(O)C1CCNCC1
681.0,OCCNCCO
87.6,COc1cc(-c2ccc(N)c(OC)c2)ccc1N
621.5999999999999,c1c[nH]cn1
774.0,N=C(O)CCC(N)C(=O)O
750.0,CC(O)C(N)C(=O)O
795.0,NC(CO)C(=O)O
472.8,Oc1ncnc2[nH]cnc12
756.0,NC(CCO)C(=O)O
73.2,O=c1c2ccccc2oc2ccccc12
606.0,NC(Cc1c[nH]c2ccccc12)C(=O)O
582.0,CCC(C)C(N)C(=O)O
573.6,COc1ccc2[nH]cc(CCN)c2c1
104.4,c1cnc2[nH]ccc2c1
70.19999999999999,CN(C)c1ccc(C=CC=O)cc1
570.0,CC(C)CC(N)C(=O)O
726.0,CC(N)C(=O)O
521.4,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12
757.1999999999999,O=C(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CO
712.8000000000001,NC(CS)C(=O)O
447.0,CC(O)C(=O)O
81.60000000000001,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N=C(C)O)CC2
958.2,N=C(N)NCCCC(N)C(=O)O
624.0,O=C(O)C1CCCN1
954.0,NCCCCC(N)C(=O)O
792.0,N=C(O)CC(N)C(=O)O
721.8,CN1C=C[C](c2ccccc2)c2ccccc21
592.1999999999999,CN1CC(O)=NC1=N
682.8000000000001,N=c1nc(O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
768.0,NC(CCC(=O)O)C(=O)O
340.2,Nc1ccc(C(=O)NCC(=O)O)cc1
813.6,NC(CC(=O)O)C(=O)O
565.8,NC(Cc1ccccc1)C(=O)O
630.0,CC(C)C(N)C(=O)O
939.0,NC(Cc1cnc[nH]1)C(=O)O
672.0,NC(Cc1ccc(O)cc1)C(=O)O
771.0,NC(CCC(=O)O)C(=O)O
558.0,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O
585.6,Nc1ccccc1C(=O)CC(N)C(=O)O
452.4,CN(C)Cc1ccccc1
572.4,O=C(O)c1cc(O)c2cccc(O)c2n1
65.4,C(=NC1CCCCC1)=NC1CCCCC1
622.1999999999999,C1COCCN1
761.4,CC(N)(CO)CO
114.0,O=C(O)c1ccc2ccccc2n1
619.8,CSCCC(N)C(=O)O
141.0,O=C(O)c1cccnc1
471.0,Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
425.4,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O
763.8000000000001,NC(Cc1ccc(O)c(O)c1)C(=O)O
588.6,N=c1nc(O)c2nc[nH]c2[nH]1
830.4,O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O
636.0,N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1
550.8,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O
624.6,N=c1ccnc(O)[nH]1
393.0,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
497.4,Oc1nc(O)c2nc[nH]c2n1
768.6,N=C(N)NCC(=O)O
466.8,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
643.2,NCCCCC(=O)O
450.59999999999997,CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O
591.5999999999999,NCCc1c[nH]c2ccccc12
534.6,COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC
871.1999999999999,CC(OP(=O)(O)O)C(N)C(=O)O
663.6,NC(CCS)C(=O)O
613.8000000000001,CSCCC(N)C(=O)O
709.8,NC(CS)C(=O)O
525.0,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12
693.0,NCCCC(=O)O
493.20000000000005,Nc1nc[nH]c2ncnc1-2
442.2,c1ccc(CNCc2ccccc2)cc1
694.8,O=C(O)CC1OCC=C2CN3CCC45C6=CC(=O)C(=O)C([N+](=O)[O-])=C6NC4C1C2CC35
136.79999999999998,Cn1c(=O)c2nc[nH]c2n(C)c1=O
891.0,NC(CCCC(N)C(=O)O)C(=O)O
758.4000000000001,NCCS(=O)(=O)O
623.4000000000001,CCCC(N)C(=O)O
744.0,NC(CCCC(=O)O)C(=O)O
592.1999999999999,CCC(C)C(N)C(=O)O
584.4,COc1ccc2[nH]cc(CC(N)C(=O)O)c2c1
602.4,CC(C)(C)C(N)C(=O)O
727.8000000000001,O=C(O)C1CC(O)CN1
693.6,CCC(N)C(=O)O
955.2,NCCC(N)C(=O)O
577.1999999999999,CCCCC(N)C(=O)O
627.6,CCCC(N)C(=O)O
172.79999999999998,CC(C)=CCNc1nc[nH]c2ncnc1-2
955.8,NCCCC(N)C(=O)O
863.4000000000001,NCC(O)=NCC(=O)O
210.6,Cc1cnc(O)nc1O
135.6,Nc1ccc(C(=O)O)cc1
773.4000000000001,NCCO
614.4,NCc1ccccc1
811.1999999999999,O=P(O)(O)OCC(O)CO
596.4,CC(O)=NC1C(O)OC(CO)C(O)C1O
822.6,O=C(O)CNCC(=O)O
581.4,NC(Cc1ccccc1)C(=O)O
264.6,Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1O
142.79999999999998,CC(=N)O
711.5999999999999,Cc1cn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)nc1O
627.6,NCCc1ccc(O)cc1
568.8000000000001,N=c1nc(O)c2ncn(C3CC(O)C(CO)O3)c2[nH]1
618.0,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
848.4000000000001,N=C(O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
602.4,N=c1ccn(C2CC(O)C(CO)O2)c(O)n1
628.8000000000001,N=c1ccn(C2OC(CO)C(O)C2O)c(O)n1
429.0,Nc1ncnc2c1ncn2C1CC(O)C(CO)O1
517.8000000000001,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2
858.0,O=C(O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
809.4,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
597.6,CC(O)=NC1C(O)OC(CO)C(O)C1O
